ID,温度,圧力,電流,電圧,外気温,速度,砂条件,鋳型条件,スイッチ1,スイッチ2,スイッチ3,スイッチ4,NGフラグ
1,158,28,1,65,12,5,"B","A","ON","ON","OFF","ON",1
2,479,41,4,197,6,11,"B","B","ON","ON","OFF","OFF",0
3,651,44,6,0,3,7,"B","C","ON","ON","OFF","OFF",0
4,454,50,5,189,6,10,"B","C","ON","ON","OFF","ON",0
5,368,25,7,153,4,5,"B","B","ON","ON","OFF","ON",0
6,442,35,1,184,3,4,"B","B","ON","ON","OFF","ON",0
7,433,20,3,180,0,0,"A","B","ON","OFF","OFF","ON",0
8,473,47,27,197,5,5,"B","C","ON","ON","OFF","ON",0
9,378,31,31,171,4,7,"B","B","ON","ON","OFF","ON",0
10,230,30,3,95,10,5,"B","A","ON","ON","ON","ON",1
11,442,27,2,925,3,7,"C","B","OFF","ON","OFF","ON",0
12,679,37,8,262,22,7,"B","C","ON","ON","OFF","OFF",0
13,352,21,1,146,7,2,"A","C","ON","OFF","OFF","ON",0
14,166,19,1,0,7,0,"A","A","ON","OFF","ON","ON",1
15,838,84,64,349,2,9,"B","C","ON","ON","OFF","ON",0
16,220,24,1,91,7,1,"A","A","ON","OFF","OFF","ON",1
17,397,34,3,165,4,11,"B","B","ON","ON","OFF","ON",0
18,443,36,2,184,4,8,"B","C","ON","ON","OFF","ON",0
19,409,42,3,0,8,4,"A","B","ON","OFF","OFF","OFF",1
20,211,28,1,0,7,3,"B","A","ON","ON","OFF","ON",1
21,528,21,3,418,8,2,"A","C","ON","OFF","OFF","OFF",0
22,271,30,2,112,18,10,"C","B","OFF","ON","OFF","ON",0
23,471,28,3,196,2,5,"B","B","ON","ON","OFF","ON",0
24,371,36,36,262,9,4,"C","B","OFF","ON","OFF","ON",0
25,287,40,2,119,2,11,"B","A","ON","ON","OFF","ON",0
26,424,20,20,176,3,1,"A","B","ON","OFF","OFF","OFF",0
27,399,22,6,166,12,0,"B","B","ON","ON","OFF","OFF",0
28,161,18,1,367,11,2,"A","A","ON","OFF","OFF","ON",1
29,401,36,3,167,3,4,"B","B","ON","ON","OFF","ON",0
30,464,38,2,1395,6,3,"B","B","ON","ON","OFF","ON",0
31,421,21,4,703,1,0,"A","C","ON","OFF","OFF","ON",0
32,466,31,5,53,18,6,"B","B","ON","ON","OFF","ON",0
33,513,34,4,213,10,10,"B","B","ON","ON","OFF","ON",0
34,215,19,3,89,12,0,"C","A","OFF","ON","OFF","ON",1
35,198,27,1,82,9,8,"A","A","ON","OFF","OFF","ON",1
36,626,26,5,260,7,0,"B","C","ON","ON","OFF","OFF",0
37,409,42,3,0,8,4,"A","B","ON","OFF","OFF","OFF",1
38,448,40,1,646,1,5,"B","C","ON","ON","OFF","ON",0
39,390,21,4,162,10,0,"A","B","ON","OFF","OFF","ON",0
40,344,37,6,143,15,3,"B","B","ON","ON","OFF","ON",0
41,274,24,3,114,5,0,"B","A","ON","ON","OFF","ON",0
42,412,30,0,171,0,3,"B","B","ON","ON","ON","ON",1
43,418,50,30,174,7,11,"B","B","ON","ON","OFF","ON",0
44,430,38,4,179,4,5,"C","A","OFF","ON","OFF","ON",0
45,471,28,3,196,2,5,"B","B","ON","ON","OFF","ON",0
46,307,18,3,127,5,2,"C","A","OFF","ON","OFF","ON",0
47,245,20,3,102,8,2,"A","A","ON","OFF","OFF","OFF",0
48,264,24,24,0,7,6,"C","A","OFF","ON","OFF","OFF",0
49,371,36,36,262,9,4,"C","B","OFF","ON","OFF","ON",0
50,877,59,6,365,7,6,"B","D","ON","ON","ON","ON",0
51,521,47,2,217,6,8,"B","C","ON","ON","OFF","ON",0
52,276,32,2,277,4,5,"B","B","ON","ON","OFF","ON",0
53,409,42,3,0,8,4,"A","B","ON","OFF","OFF","OFF",1
54,339,21,2,141,4,3,"C","B","OFF","ON","OFF","ON",0
55,397,19,4,624,4,0,"C","B","OFF","ON","OFF","ON",0
56,403,23,0,0,10,4,"B","B","ON","ON","ON","ON",1
57,877,59,6,365,7,6,"B","D","ON","ON","ON","ON",0
58,191,27,2,79,6,3,"A","A","ON","OFF","OFF","ON",1
59,549,35,35,228,6,10,"B","C","ON","ON","OFF","OFF",0
60,411,20,3,0,0,2,"C","B","OFF","ON","OFF","ON",0
61,448,40,1,646,1,5,"B","C","ON","ON","OFF","ON",0
62,906,45,2,377,10,8,"B","D","ON","ON","ON","ON",0
63,271,30,2,112,18,10,"C","B","OFF","ON","OFF","ON",0
64,321,26,26,295,7,4,"A","B","ON","OFF","OFF","OFF",0
65,372,18,3,155,1,0,"B","B","ON","ON","OFF","OFF",0
66,407,21,0,118,1,0,"A","B","ON","OFF","ON","ON",1
67,295,29,1,122,4,3,"B","B","ON","ON","OFF","ON",0
68,789,68,4,328,10,11,"B","C","ON","ON","OFF","OFF",0
69,550,23,7,0,6,4,"C","B","OFF","ON","OFF","ON",0
70,234,28,2,598,5,3,"B","A","ON","ON","OFF","ON",0
71,473,37,37,197,9,6,"B","B","ON","ON","OFF","ON",0
72,344,37,6,143,15,3,"B","B","ON","ON","OFF","ON",0
73,378,21,2,1409,5,1,"A","B","ON","OFF","OFF","ON",0
74,474,34,4,197,5,7,"B","B","ON","ON","OFF","OFF",0
75,644,36,36,268,13,5,"B","C","ON","ON","OFF","ON",0
76,433,20,3,180,0,0,"A","B","ON","OFF","OFF","ON",0
